#ICAO,IATA,Full_name,Continent,Location,Longitude,Latitude
"00OR","","Steel Systems Heliport","NA","Salem","-123.1299972534179","44.932899475097656"
"00PA","","R J D Heliport","NA","Coatesville","-75.7469024658203","39.94889831542969"
"00PN","","Ferrell Field","NA","Mercer","-80.21111","41.2995"
"00PS","","Thomas Field","NA","Loysville","-77.36530","40.3778"
"00S","","Mc Kenzie Bridge State Airport","NA","Mc Kenzie Bridge","-122.08899688","44.183200836199994"
"00SC","","Flying O Airport","NA","Sumter","-80.2671966552734","34.0093994140625"
"00SD","","Homan Field","NA","Gary","-96.49889","44.809158"
"00TA","","SW Region FAA Heliport","NA","Fort Worth","-97.30580","32.8269"
"00TE","","Tcjc-Northeast Campus Heliport","NA","Fort Worth","-97.1894989013671","32.847599029541016"
"00TN","","Ragsdale Road Airport","NA","Manchester","-85.9535980224609","35.515899658203125"
"00TS","","Alpine Range Airport","NA","Everman","-97.2419967651367","32.607601165771484"
"00TX","","San Jacinto Methodist Hospital Heliport","NA","Baytown","-94.98020","29.7377"
"00UT","","Clear Creek Ranch Airport","NA","Kanab","-112.82199","37.247799"
"00VA","","Vaughan Airport","NA","Alton","-78.999168","36.57600021"
"00VI","","Groundhog Mountain Airport","NA","Hillsville","-80.4994964599609","36.663299560546875"
"00W","","Lower Granite State Airport","NA","Colfax","-117.4430007934","46.673500061035"
"00WA","","Howell Airport","NA","Longbranch","-122.7720031738281","47.17839813232422"
"00WI","","Northern Lite Airport","NA","Waupaca","-89.0501022338867","44.304298400878906"
"00WN","","Hawks Run Airport","NA","Asotin","-117.249000549316","46.25"
"00WV","","Lazy J. Aerodrome","NA","Beverly","-79.8660964965820","38.82889938354492"
"00WY","","Mountain View Regional Hospital Heliport","NA","Casper","-106.22444","42.840361"
"00XS","","L P Askew Farms Airport","NA","O'Donnell","-101.9339981079101","33.03340148925781"
"01A","","Purkeypile Airport","NA","Purkeypile","-152.2700042724609","62.943599700927734"
"01AK","","Providence Seward Medical Center Heliport","NA","Seward","-149.44624900","60.105873975399994"
"01AL","","Ware Island Airport","NA","Clanton","-86.5139007568359","32.94599914550781"
"01AR","","Community Hospital of De Queen Heliport","NA","De Queen","-94.3548965454101","34.047298431396484"
"01AZ","","Yat Heliport","NA","Camp Verde","-111.8649978637695","34.60810089111328"
"01C","","Grant Airport","NA","Grant","-85.77500152587","43.341701507568"
"01CA","","Lugo Substation Heliport","NA","Hesperia","-117.37005874","34.368240591699994"
"01CL","","Swansboro Country Airport","NA","Placerville","-120.7340011596679","38.79990005493164"
"01CN","","Los Angeles County Sheriff's Department Heliport","NA","Los Angeles","-118.1539993286132","34.03779983520508"
"01CO","","St Vincent General Hospital Heliport","NA","Leadville","-106.2460021972656","39.24530029296875"
"01CT","","Berlin Fairgrounds Heliport","NA","Berlin","-72.7275009155273","41.62730026245117"
"01FA","","Rybolt Ranch Airport","NA","Orlando","-81.1442031860351","28.589399337768555"
"01FD","","Advent Health Altamonte Springs Heliport","NA","Altamonte Springs","-81.369","28.666639"
"01FL","","Cedar Knoll Flying Ranch Airport","NA","Geneva","-81.159202575683","28.78190040588379"
"01GA","","Medical Center Heliport","NA","Columbus","-84.979103088378","32.47930145263672"
"01GE","","The Farm Airport","NA","Wrightsville","-82.7711029052734","32.674400329589844"
"01IA","","Stender Airport","NA","Maysville","-90.7413024902343","41.66109848022461"
"01ID","","Lava Hot Springs Airport","NA","Lava Hot Springs","-112.03199","42.6082"
"01II","","Myers Field","NA","Lizton","-86.5066986083984","39.8849983215332"
"01IL","","Hoopeston Community Memorial Hospital Heliport","NA","Hoopeston","-87.6595001220703","40.45859909057617"
"01IN","","Community Hospital Heliport","NA","Anderson","-85.6958007812","40.13090133666992"
"01IS","","William E. Koenig Airport","NA","Dow","-90.3181991577148","39.01620101928711"
"01J","","Hilliard Airpark","NA","Hilliard","-81.9057006835937","30.68630027770996"
"01K","","Caldwell Municipal Airport","NA","Caldwell","-97.586402893066","37.03609848022461"
"01KS","","Flying N Ranch Airport","NA","Lost Springs","-97.0033035278320","38.54059982299805"
"01KY","","Lourdes Hospital Heliport","NA","Paducah","-88.6468963623046","37.051700592041016"
"01LA","","Barham Airport","NA","Oak Ridge","-91.7736968994140","32.638999938964844"
"01LL","","Schumaier Restricted Landing Area","NA","Pinckneyville","-89.4638977050781","38.12580108642578"
"01LS","","Country Breeze Airport","NA","Slaughter","-91.0774002075195","30.70599937438965"
"01MA","","Compaq Andover Heliport","NA","Andover","-71.1800994873046","42.625099182128906"
"01MD","","Annapolis Seaplane Base","NA","Annapolis","-76.45600","38.999199"
"01ME","","Saint Peter's Seaplane Base","NA","Portage Lake","-68.5002975463867","46.778900146484375"
"01MI","","Flow Through Terminal Heliport","NA","Flint","-83.6797027587890","43.04949951171875"
"01MN","","Barnes Seaplane Base","NA","Cook","-92.5574035644531","47.899600982666016"
"01MO","","Highway Patrol Troop C Headquarters Heliport","NA","Town and Country","-90.4842987060546","38.641700744628906"
"01MT","","Crystal Lakes Resort Airport","NA","Fortine","-114.8799972534179","48.789100646972656"
"01NC","","Topsail Airpark","NA","Holly Ridge","-77.581398010253","34.47529983520508"
"01NE","","Detour Airport","NA","Wellfleet","-100.6529998779296","40.84360122680664"
"01NH","","Moore Airfield","NA","Canaan","-72.08699","43.6445"
"01NJ","","Albert Guido Memorial Heliport","NA","Newark","-74.1371002197265","40.741798400878906"
"01NM","","Champion Ranch Airport","NA","Artesia","-104.54027","33.008611"
"01NV","","Lantana Ranch Airport","NA","Yerington","-119.027000427246","38.76390075683594"
"01NY","","Vassar Hospital Heliport","NA","Poughkeepsie","-73.93558","41.694187"
"01OI","","Galion Community Hospital Heliport","NA","Galion","-82.8015975952148","40.73059844970703"
"01OK","","Lawrence Airport","NA","Eakly","-98.63649","35.294498"
"01OR","","Red & White Flying Service Airport","NA","Silver Lake","-121.04499","43.119301"
"01PA","","Pine Heliport","NA","Mars","-80.05090","40.655602"
"01PN","","Bierly(Personal Use) Airport","NA","Bellefonte","-77.7388992309570","40.930599212646484"
"01PS","","Nort's Resort Airport","NA","Meshoppen","-76.0296020507812","41.59590148925781"
"01SC","","York Airport","NA","York","-81.2527999877929","35.032100677490234"
"01TA","","Thirty Thirty Matlock Office Center Heliport","NA","Arlington","-97.1157989501953","32.69419860839844"
"01TE","","Smith Field","NA","Forney","-96.428001403808","32.73759841918945"
"01TN","","Colonial Air Park","NA","Collierville","-89.7305984497070","34.99589920043945"
"01TS","","St Joseph Hospital Heliport","NA","Fort Worth","-97.32450","32.7285"
"01TX","","Mims Farm Ultralightport","NA","Waxahachie","-96.8775024414062","32.38759994506836"
"01U","","Duckwater Airport","NA","Duckwater","-115.6340026855468","38.851600646972656"
"01UT","","La Sal Junction Airport","NA","La Sal","-109.3960037231445","38.30830001831055"
"01VA","","Pickles Airport","NA","Berryville","-77.925003051","39.125"
"01WA","","Willapa Harbor Heliport","NA","South Bend","-123.8119964599609","46.66320037841797"
"01WI","","Prehn Cranberry Company Airport","NA","Tomah","-90.3891983032226","44.0099983215332"
"01WN","","Whidbey General Hospital Heliport","NA","Coupeville","-122.6849975585937","48.213401794433594"
"01WT","","Odyssey Heliport","NA","Renton","-122.21090","47.518178"
"01WY","","Keyhole Airport","NA","Moorcroft","-104.8109970092773","44.347198486328125"
"01XA","","Seton Medical Center Hays Heliport","NA","Kyle","-97.85333","30.007222"
"01XS","","Meadowood Ranch Heliport","NA","Athens","-95.7454986572265","32.020198822021484"
"02AK","","Rustic Wilderness Airport","NA","Willow","-150.0980072021484","61.87689971923828"
"02AL","","Bass Field","NA","Foley","-87.7643966674804","30.37150001525879"
"02AR","","Three Rivers Airport","NA","Little Rock","-92.4444","34.822445"
"02AZ","","Winchester Farm Airstrip","NA","Willcox","-109.93699","32.376401"
"02CA","","Swepi Beta Platform Ellen Heliport","NA","Huntington Beach","-118.1289978027343","33.58250045776367"
"02CD","","Shannon Field","NA","Clarksdale","-90.5240020751953","34.129600524902344"
"02CL","","Conover Air Lodge Airport","NA","Frazier Park","-119.05899","34.761101"
"02CO","","Mc Cullough Airport","NA","Monte Vista","-106.0469970","37.64329910279999"
"02CT","","Strangers Point Heliport","NA","Ellington","-72.4445037841796","41.91960144042969"
"02FA","","Osborn Airfield","NA","Groveland","-81.8748016357421","28.52669906616211"
"02FL","","Cuchens Airport","NA","Defuniak Springs","-86.11877","30.642527"
"02GA","","Doug Bolton Field","NA","Commerce","-83.4290008544921","34.202598571777344"
"02GE","","Etowah Fields Airport","NA","Euharlee","-84.9244003295898","34.17530059814453"
"02HI","","K3 Helipad Heliport","NA","Pearl Harbor","-157.951004028320","21.36199951171875"
"02IA","","Boone County Hospital Heliport","NA","Boone","-93.8779983520507","42.05609893798828"
"02ID","","Morgan Ranch Airport","NA","Cascade","-115.3050003051757","44.55550003051758"
"02II","","King Ultralightport","NA","Westfield","-86.2105026245117","40.06230163574219"
"02IN","","Diamond P. Field","NA","Muncie","-85.5408020019531","40.208900451660156"
"02IS","","Condell Medical Center Heliport","NA","Libertyville","-87.957298278808","42.274600982666016"
"02KS","","Jmj Landing Airport","NA","St Marys","-96.055297851562","39.222198486328125"
"02KT","","St Claire Healthcare Heliport","NA","Morehead","-83.44331","38.181441"
"02KY","","Boone National Guard Heliport","NA","Frankfort","-84.8999023437","38.18339920043945"
"02LA","","La State Police Troop G Heliport","NA","Bossier City","-93.6602020263671","32.53129959106445"
"02LS","","Windy Hill Heliport","NA","Broussard","-91.9189987182617","30.148300170898438"
"02MA","","Cuttyhunk Heliport","NA","Gosnold","-70.92700195312","41.41960144042969"
"02MD","","Garner Field","NA","Brandywine","-76.70973","38.672544"
"02ME","","Nadeau's Airfield","NA","Acton","-70.92939","43.5373"
"02MI","","Fairplains Airpark","NA","Greenville","-85.1484985351562","43.157100677490234"
"02MN","","Greenbush Municipal Airport","NA","Greenbush","-96.1920013427734","48.68330001831055"
"02MO","","Troy Airpark","NA","Troy","-91.0335006713867","39.04999923706055"
"02MS","","Watts Field","NA","Rochdale","-90.846801757812","34.100101470947266"
"02MT","","Barrett Field","NA","Cascade","-111.7430","47.2374"
"02MU","","Timber Line Airpark","NA","Cassville","-93.79741","36.654233"
"02NC","","Race City Heliport","NA","Landis","-80.59777","35.541111"
"02NE","","Benes Service Airport","NA","Valparaiso","-96.9045028686523","41.074501037597656"
"02NH","","Iroquois Landing Seaplane Base","NA","Dummer","-71.2191009521484","44.657100677490234"
"02NJ","","Penske Heliport","NA","Piscataway","-74.4671020507812","40.55730056762695"
"02NV","","Paiute Meadows Airport","NA","Winnemucca","-118.597999572753","41.30329895019531"
"02NY","","Hansen Heliport","NA","Durhamville","-75.6555023193359","43.132598876953125"
"02OH","","Zimmerman Airport","NA","Fremont","-83.0832977294921","41.376399993896484"
"02OI","","Murtha Airport","NA","Conneaut","-80.5653991699218","41.801998138427734"
"02OK","","Canon Heliport","NA","Oklahoma City","-97.52529","35.458401"
"02OR","","Rowena Dell Airport","NA","The Dalles","-121.3160018920898","45.68149948120117"
"02P","","Stottle Memorial Heliport","NA","Honey Grove","-77.55660","40.403596"
"02PA","","Lag Iii Heliport","NA","Monroeville","-79.769996643066","40.43830108642578"
"02PN","","Peco Berwyn Heliport","NA","Berwyn","-75.455200195312","40.06959915161133"
"02PR","","Cuylers Airport","NA","Vega Baja","-66.3668975830078","18.45330047607422"
"02PS","","Hughes Ultralightport","NA","Tioga","-77.2303009033203","41.90060043334961"
"02SC","","Harpers Airport","NA","Estill","-81.2248001098632","32.75849914550781"
"02T","","Wise River Airport","NA","Wise River","-112.9820022583007","45.769100189208984"
"02TA","","Matagorda Shore Facility Heliport","NA","Matagorda","-95.873802185058","28.721399307250977"
"02TE","","Baylor Medical Center Heliport","NA","Waxahachie","-96.8641967773437","32.39540100097656"
"02TN","","Ellis Field","NA","Murfreesboro","-86.5841979980468","35.780601501464844"
"02TS","","FWOMC Heliport","NA","Fort Worth","-97.37000","32.747601"
"02TX","","The Palms At Kitty Hawk Airport","NA","New Home","-101.9228820","33.3704032898"
"02UT","","Lucin Airport","NA","Lucin","-113.8430023193359","41.36629867553711"
"02VA","","The Greenhouse Airport","NA","Culpeper","-77.857200622558","38.435699462890625"
"02VG","","Northstar Aviation Heliport","NA","Bristol","-82.1166992187","36.63880157470703"
"02WA","","Cawleys South Prairie Airport","NA","South Prairie","-122.0940017700195","47.15230178833008"
"02WI","","Beer Airport","NA","Hudson","-92.6557998657226","45.031898498535156"
"02WN","","Fowler Field","NA","Tonasket","-119.3190002441406","48.74580001831055"
"02XA","","JLS Farms Airport","NA","Honey Grove","-95.88286","33.591319"
"02XS","","Seidel Ranch Airport","NA","Elroy","-97.66280","30.147699"
"03AA","","Trapper T Heliport","NA","Palmer","-149.28452","61.556055"
"03AK","","Joe Clouds Seaplane Base","NA","Kenai","-151.1327819824218","60.72722244262695"
"03AL","","Highland Medical Center Heliport","NA","Scottsboro","-86.04677","34.662604"
"03AR","","Hscmh Heliport","NA","Malvern","-92.7884979248046","34.357601165771484"
"03AZ","","Thompson International Aviation Airport","NA","Hereford","-110.0839996337890","31.433399200439453"
"03CA","","Grossmont Hospital Heliport","NA","La Mesa","-117.00695","32.779484"
"03CO","","Kugel-Strong Airport","NA","Platteville","-104.74400329","40.2125015259"
"03FA","","Lake Persimmon Airstrip","NA","Lake Placid","-81.4080963134765","27.353099822998047"
"03FD","","Tharpe Airport","NA","Bonifay","-85.73100","30.8288"
"03FL","","Ranger Heliport","NA","West Palm Beach","-80.1873016357421","26.683700561523438"
"03GA","","HIA Airport","NA","Statesboro","-81.857694","32.5623056"
"03I","","Clarks Dream Strip","NA","Circleville","-83.01820","39.644199"
"03IA","","East Field","NA","Montezuma","-92.461303710937","41.58190155029297"
"03ID","","Flying Y Ranch Airport","NA","Council","-116.5329971313476","44.7943000793457"
"03II","","Davis Field Ultralightport","NA","Mount Vernon","-87.778900146","37.9620018005"
"03IL","","Wix Airport","NA","Monee","-87.8167037963867","41.40230178833008"
"03IN","","Heinzman Airport","NA","Arcadia","-86.0124969482421","40.18000030517578"
"03IS","","OSF St Anthony's Health Center Heliport","NA","Alton","-90.17340","38.904999"
"03KS","","Valley Grain Heliport","NA","Highland","-95.2640991210937","39.86470031738281"
"03KY","","Flying H Farms Airport","NA","Henderson","-87.5413970947265","37.79169845581055"
"03LA","","Damien Heliport","NA","Carville","-91.1278991699218","30.199600219726562"
"03LS","","Fmc Nr 1 Heliport","NA","Winnsboro","-91.7080001831054","32.159000396728516"
"03M","","Lakeside Marina Seaplane Base","NA","East Winthrop","-69.889503479003","44.320899963378906"
"03MA","","Hadley Airport","NA","Hadley","-72.55200195312","42.39310073852539"
"03MD","","Upper Chesapeake Medical Center Heliport","NA","Bel Air","-76.3266983032226","39.522499084472656"
"03ME","","Maple Ridge Airport","NA","Harrison","-70.627296447753","44.08420181274414"
"03MI","","Harold Miller Heliport","NA","Bay City","-83.8621978759765","43.550899505615234"
"03MN","","Nauerth Land Ranch Airport","NA","Lakefield","-95.2247009277343","43.62519836425781"
"03MO","","Cahoochie Airport","NA","Urbana","-93.13159","37.884499"
"03MS","","Vicksburg Medical Center Heliport","NA","Vicksburg","-90.883201599121","32.31880187988281"
"03MT","","Cascade Field","NA","Cascade","-111.7174","47.267327"
"03MU","","Mc Donnell Airport","NA","Archie","-94.4124984741000","38.4925003052"
"03N","UTK","Utirik Airport","OC","Utirik Island","169.85200","11.222"
"03NC","","Pilots Ridge Airport","NA","Carolina Beach","-77.904197692871","34.10430145263672"
"03ND","","Olafson Brothers Airport","NA","Edinburg","-97.829002380371","48.626399993896484"
"03NE","","Hyde Ranch Airport","NA","Comstock","-99.331199645996","41.5463981628418"
"03NH","","Lorden Heliport","NA","Milford","-71.1243972778320","42.815399169921875"
"03NJ","","At&T Heliport","NA","Berkeley Heights","-74.41015","40.668713"
"03NV","","Llama Ranch Airport","NA","Ruby Valley","-115.297996520996","40.58440017700195"
"03NY","","Talmage Field","NA","Riverhead","-72.71679687","40.95840072631836"
"03OH","","Gibbs Field","NA","Fremont","-83.0174026489257","41.418399810791016"
"03OI","","Cleveland Clinic, Marymount Hospital Heliport","NA","Garfield Heights","-81.59955","41.420312"
"03OK","","Sahoma Lake Airport","NA","Sapulpa","-96.161399841308","36.04119873046875"
"03OR","","Powwatka Ridge Airport","NA","Troy","-117.4840011596679","45.85540008544922"
"03PA","","Collegeville Heliport","NA","Collegeville","-75.465698242187","40.162899017333984"
"03PN","","M.P. Metals Heliport","NA","Berwick","-76.18080","41.066861"
"03PR","","Sun View Field Airport","NA","Bonner Springs","-94.92170","39.065947"
"03PS","","Ziggy's Field","NA","Bellefonte","-77.90560","40.849998"
"03S","","Sandy River Airport","NA","Sandy","-122.2289962768554","45.401798248291016"
"03SC","","Seacoast Medical Center Heliport","NA","Little River","-78.6619033813476","33.8650016784668"
"03TA","","Gay Hill Farm Airport","NA","Gay Hill","-96.50019","30.262699"
"03TE","","Barronena Ranch Airport","NA","Hebbronville","-98.6695022583007","27.491100311279297"
"03TN","","Eagles Landing Heliport","NA","Sevierville","-83.5793991088867","35.92250061035156"
"03TS","","Shannon Medical Center Heliport","NA","San Angelo","-100.4380035400390","31.45989990234375"
"03TX","","M D K Field","NA","Pearland","-95.3071975708007","29.581600189208984"
"03UT","","A Z Minerals Corporation Airport","NA","Mexican Hat","-109.9860000610351","37.12080001831055"
"03VA","","Whipoorwill Springs Airport","NA","Nokesville","-77.5796966552734","38.66460037231445"
"03WA","","Spangle Field","NA","Spangle","-117.3720016479492","47.408199310302734"
"03WI","","Zink Airport","NA","Berlin","-88.88394","44.028873"
"03WN","","Aerostone Ranch Airport","NA","Goldendale","-120.6699981689453","45.875"
"03XS","","Creekside Airport","NA","Mertzon","-100.7539978027343","31.318099975585938"
"04AA","","Flying W Ranch Airport","NA","Soldotna","-150.81138","60.535833"
"04AL","","Anniston AHP (Anniston Army Depot)","NA","Anniston","-85.9672012","33.62639999"
"04AR","","Saline Memorial Hospital Heliport","NA","Benton","-92.58604","34.574319"
"04AZ","","(Old) Chinle Airport","NA","Chinle","-109.56077","36.147197"
"04CA","","Gray Butte Field","NA","Palmdale","-117.67500","34.5639"
"04CL","","Hunt's Sky Ranch Airport","NA","Julian","-116.4410018920898","33.08169937133789"
"04CT","","Shingle Mill Heliport","NA","Harwinton","-73.0523986816406","41.75510025024414"
"04F","","De Leon Municipal Airport","NA","De Leon","-98.52532","32.098801"
"04FA","","Richards Field","NA","Homestead","-80.5150985717773","25.558700561523438"
"04FD","","Tampa General Hospital Brandon Healthplex Heliport","NA","Brandon","-82.33698","27.929372"
"04FL","","Cross Creek Farms Airport","NA","Ormond","-81.2220001220703","29.23940086364746"
"04I","","Columbus Southwest Airport","NA","Columbus","-83.1887969970703","39.91120147705078"
"04IA","","Middlekoop Airport","NA","Packwood","-92.0546035766601","41.08829879760742"
"04ID","","Lanham Field","NA","Emmett","-116.5370025634765","43.87770080566406"
"04II","","Turkey Run Airport","NA","New Haven","-84.9941024780273","41.13059997558594"
"04IL","","Schertz Aerial Service - Hudson Airport","NA","Hudson","-89.007003784","40.6375007629"
"04IN","","Lake Gage Seaplane Base","NA","Angola","-85.11305","41.701389"
"04IS","","Van Gorder Airport","NA","Mansfield","-88.5690002441406","40.1786003112793"
"04KS","","Robinson Industries Heliport","NA","Lawrence","-95.219703674316","38.97890090942383"
"04KY","","Natchez Trace Farm Airport","NA","Hiseville","-85.7893981933593","37.135101318359375"
"04LA","","St James Heliport","NA","Lutcher","-90.70222","30.051111"
"04LL","","Brunner Airport","NA","West Dundee","-88.2875976562","42.13610076904297"
"04LS","","La National Guard Heliport","NA","Baton Rouge","-91.1053009033203","30.44610023498535"
"04MA","","Goddard Field (Airport)","NA","Haverhill","-71.139198303","42.8097991943"
"04MD","","Chesapeake City Heliport","NA","Chesapeake City","-75.8214035034179","39.51810073852539"
"04ME","","Beech Hill Airport","NA","Mercer","-69.893898010253","44.66669845581055"
"04MI","","Rapids Airway Airport","NA","Eaton Rapids","-84.6283035278320","42.53450012207031"
"04MN","","Helblad Airport","NA","Kelliher","-94.6868972778320","47.985801696777344"
"04MO","","Airpark Private Airport","NA","Vandalia","-91.4514999389648","39.30120086669922"
"04MS","","Nick's Flying Service Inc Airport","NA","Rolling Fork","-90.837303161","32.939601898199996"
"04MT","","Pluhar Airport","NA","Cohagen","-106.48809","47.13749777779999"
"04NC","","Western Wake Medical Center Heliport","NA","Cary","-78.782203674","35.739200592"
"04NE","","Mc Connell Field Airport","NA","Sarben","-101.29900360","41.159999847399995"
"04NJ","","Emmanuel Airport","NA","Elmer","-75.233497619","39.596801757799994"
"04NV","","Kingston Ranch Airport","NA","Sandy Valley","-115.66500091","35.7555007935"
"04NY","","Klaverack Airport","NA","Hudson","-73.696197509","42.262298584"
"04OG","","Teufel Heliport","NA","Forest Grove","-123.08555","45.530833"
"04OH","","Bossow Airport","NA","Garrettsville","-81.10070","41.2477"
"04OK","","Stillwater Medical Center Heliport","NA","Stillwater","-97.07949829","36.1152992249"
"04OR","","Collins Landing Strip","NA","Mitchell","-120.20099639","44.7499008179"
"04PA","","S & C Distribution Center Heliport","NA","Philadelphia","-75.228797912","39.87929916379999"
"04PN","","Strawbridge & Clothier Exton Heliport","NA","Exton","-75.6302","40.0306619"
"04SC","","Emergency Helipad","NA","Easley","-82.6069030762000","34.8405990601"
"04SD","","Cheyenne River Health Center Heliport","NA","Eagle Butte","-101.24301","44.993124"
"04TA","","Capitol National Bank Building Heliport","NA","Austin","-97.74527","30.270262"
"04TE","","Veterans Affairs Medical Center Heliport","NA","Houston","-95.3873977661000","29.700199127199998"
"04TN","","Hensley Airpark","NA","Chuckey","-82.6789016723999","36.183300018299995"
"04TS","","Hummingbird Heliport","NA","Hutto","-97.6061019897000","30.553499221800003"
"04TX","","Pocock Airport","NA","China Spring","-97.3688964844000","31.7322006226"
"04UT","","Navajo Mountain Airport","NA","Navajo Mountain Trdng Post","-110.79499816","37.0083007812"
"04V","","Saguache Municipal Airport","NA","Saguache","-106.174388","38.0990833"
"04VA","","Russell County Medical Center Heliport","NA","Lebanon","-82.07","36.898"
"04VG","","Manquin Flight Park Ultralightport","NA","Manquin","-77.2117996216000","37.7144012451"
"04VT","","Lightning Bolt Field Airport","NA","Cabot","-72.2636032103999","44.4011001587"
"04W","","Field of Dreams Airport","NA","Hinckley","-92.89540100","46.0228004456"
"04WA","","Ox Meadows Airport","NA","Spokane","-117.4369964","47.5817985535"
"04WI","","Dutch Gap Airstrip","NA","Bristol","-88.016700744","42.523399353"
"04WN","","Stillwater Creek Airport","NA","Royal City","-119.64166","46.963889"
"04WV","","West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport","NA","Morgantown","-79.956111111","39.6536111111"
"04XA","","Pecan Field","NA","Jermyn","-98.40286","33.283933"
"04XS","","Schmidts Heliport","NA","Mansfield","-97.14250","32.5821"
"05AK","","Wasilla Creek Airpark","NA","Palmer","-149.188003","61.66830063"
"05AL","","Allen Stagefield Army Heliport","NA","Fort Rucker/Wicksburg","-85.6496963501000","31.2311992645"
"05AR","","Ozark Skies Airpark","NA","Kingston","-93.5702","36.000633"
"05AZ","","Yuma Regional Medical Center Heliport","NA","Yuma","-114.63434","32.683452"
"05B","","Van Buren Seaplane Base","NA","Van Buren","-67.93199","47.158901"
"05CA","","Lost Hills Sheriff's Station Heliport","NA","Calabasas","-118.71399688","34.137798309299995"
"05CL","","Pope Valley Airport","NA","Pope Valley","-122.3909988","38.6106987"
"05CO","","Rancho De Aereo Airport","NA","Mead","-104.984422","40.2149839"
"05CT","","O And G Heliport","NA","Torrington","-73.116203308","41.7737007141"
"05FA","","Melanie's Airport","NA","Florala","-86.2182998657226","30.918899536132812"
"05FD","","Aventura Heliport","NA","North Miami Beach","-80.1391983032226","25.960899353027344"
"05FL","","Charlton Strip","NA","La Belle","-81.408302307128","26.523099899291992"
"05GA","","Raju Airport","NA","Richland","-84.7144012451171","32.0713996887207"
"05IA","","Spotts Field","NA","Nora Springs","-93.0682983398437","43.13750076293945"
"05ID","","Running Creek Ranch Airport","NA","Grangeville","-114.83599","45.914101"
"05II","","Reichhart Airport","NA","New Haven","-84.9972000122070","41.02870178222656"
"05IL","","Classic Landings Airport","NA","Bonfield","-88.016700744628","41.156700134277344"
